StationName,Line,Department,Station,Workstation,Long,Lat
CFR005W,FR,C,005,W,-83.161240,42.307141
CFR006E,FR,C,006,E,-83.161215,42.307207
CFR006W,FR,C,006,W,-83.161279,42.307196
CFR007E,FR,C,007,E,-83.161254,42.307262
CFR007W,FR,C,007,W,-83.161319,42.307250
CRC001E,RC,C,001,E,-83.162083,42.308641
CRC002S,RC,C,002,S,-83.162118,42.308591
CRC003W,RC,C,003,W,-83.162191,42.308601
CRC004W,RC,C,004,W,-83.162218,42.308652
CRC005N,RC,C,005,N,-83.162197,42.308700
CRC006E,RC,C,006,E,-83.162110,42.308693
C1A001E,1A,C,001,E,-83.161935,42.308494
C1A001W,1A,C,001,W,-83.161991,42.308471
C1A002E,1A,C,002,E,-83.161895,42.308440
C1A002W,1A,C,002,W,-83.161952,42.308417
C1A003E,1A,C,003,E,-83.161856,42.308385
C1A003W,1A,C,003,W,-83.161913,42.308362
C1A004E,1A,C,004,E,-83.161816,42.308331
C1A004W,1A,C,004,W,-83.161873,42.308308
C1A005E,1A,C,005,E,-83.161777,42.308277
C1A005W,1A,C,005,W,-83.161834,42.308254
C1A006E,1A,C,006,E,-83.161737,42.308222
C1A006W,1A,C,006,W,-83.161794,42.308199
C1A007E,1A,C,007,E,-83.161698,42.308168
C1A007W,1A,C,007,W,-83.161755,42.308145
C1A008E,1A,C,008,E,-83.161658,42.308114
C1A008W,1A,C,008,W,-83.161715,42.308091
C1A009E,1A,C,009,E,-83.161619,42.308059
C1A009W,1A,C,009,W,-83.161676,42.308036
C1A010E,1A,C,010,E,-83.161579,42.308005
C1A010W,1A,C,010,W,-83.161636,42.307982
C1A011E,1A,C,011,E,-83.161479,42.307867
C1A011W,1A,C,011,W,-83.161544,42.307855
C1A012E,1A,C,012,E,-83.161440,42.307813
C1A012W,1A,C,012,W,-83.161505,42.307801
C1A013E,1A,C,013,E,-83.161389,42.307742
C1A013W,1A,C,013,W,-83.161457,42.307736
C1A014E,1A,C,014,E,-83.161341,42.307677
C1A014W,1A,C,014,W,-83.161406,42.307665
C1A015E,1A,C,015,E,-83.161302,42.307622
C1A015W,1A,C,015,W,-83.161366,42.307610
C1A016E,1A,C,016,E,-83.161262,42.307568
C1A016W,1A,C,016,W,-83.161327,42.307556
C1A017E,1A,C,017,E,-83.161223,42.307514
C1A017W,1A,C,017,W,-83.161288,42.307502
C1A018E,1A,C,018,E,-83.161183,42.307459
C1A018W,1A,C,018,W,-83.161248,42.307447
C1A019E,1A,C,019,E,-83.161144,42.307405
C1A019W,1A,C,019,W,-83.161209,42.307393
C1A020E,1A,C,020,E,-83.161104,42.307351
C1A020W,1A,C,020,W,-83.161169,42.307339
C1A021E,1A,C,021,E,-83.161065,42.307296
C1A021W,1A,C,021,W,-83.161130,42.307284
C1A022E,1A,C,022,E,-83.161025,42.307242
C1A022W,1A,C,022,W,-83.161090,42.307230
C1A023E,1A,C,023,E,-83.160986,42.307188
C1A023W,1A,C,023,W,-83.161051,42.307176
C1A024E,1A,C,024,E,-83.160947,42.307133
C1A024W,1A,C,024,W,-83.161011,42.307121
C1A025E,1A,C,025,E,-83.160907,42.307079
C1A025W,1A,C,025,W,-83.160972,42.307067
C1A026E,1A,C,026,E,-83.160868,42.307025
C1A026W,1A,C,026,W,-83.160932,42.307013
C1A027E,1A,C,027,E,-83.160828,42.306970
C1A027W,1A,C,027,W,-83.160893,42.306958
C1A028E,1A,C,028,E,-83.160807,42.306904
C1A028W,1A,C,028,W,-83.160922,42.306858
C1A029E,1A,C,029,E,-83.160754,42.306830
C1A029W,1A,C,029,W,-83.160862,42.306755
C1A030E,1A,C,030,E,-83.160672,42.306737
C1A030W,1A,C,030,W,-83.160789,42.306674
C2A001E,2A,C,001,E,-83.160429,42.306831
C2A001W,2A,C,001,W,-83.160505,42.306800
C2A002E,2A,C,002,E,-83.160468,42.306885
C2A002W,2A,C,002,W,-83.160545,42.306855
C2A003E,2A,C,003,E,-83.160507,42.306940
C2A003W,2A,C,003,W,-83.160584,42.306909
C2A004E,2A,C,004,E,-83.160547,42.306994
C2A004W,2A,C,004,W,-83.160624,42.306963
C2A005E,2A,C,005,E,-83.160586,42.307048
C2A005W,2A,C,005,W,-83.160663,42.307018
